Plate Name List,Treatment timepoint,Plating density,Percent Replicating,Modality,sphere
"['BR00116991', 'BR00116992', 'BR00116993', 'BR00116994']",24.0,A549,0.8660130718954249,Compounds,None
"['BR00116991', 'BR00116992', 'BR00116993', 'BR00116994']",24.0,A549,0.6143790849673203,Compounds,batch
"['BR00116991', 'BR00116992', 'BR00116993', 'BR00116994']",24.0,A549,0.565359477124183,Compounds,plate
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",48.0,A549,0.9607843137254902,Compounds,None
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",48.0,A549,0.7058823529411765,Compounds,batch
"['BR00117015', 'BR00117016', 'BR00117017', 'BR00117019']",48.0,A549,0.6993464052287581,Compounds,plate
"['BR00117008', 'BR00117009']",48.0,A549 80%,0.7058823529411765,Compounds,None
"['BR00117008', 'BR00117009']",48.0,A549 80%,0.545751633986928,Compounds,batch
"['BR00117008', 'BR00117009']",48.0,A549 80%,0.49673202614379086,Compounds,plate
"['BR00117054', 'BR00117055']",48.0,A549 120%,0.6928104575163399,Compounds,None
"['BR00117054', 'BR00117055']",48.0,A549 120%,0.5098039215686274,Compounds,batch
"['BR00117054', 'BR00117055']",48.0,A549 120%,0.4738562091503268,Compounds,plate
