Plate Name,Exposure level,Batch,Percent Replicating,Percent Matching
BR00115133,Lower,Stain3-CondA,58.88888888888889,20.930232558139537
BR00115133,Higher,Stain3-CondA,60.0,23.25581395348837
BR00115132,Lower,Stain3-CondB,58.88888888888889,18.6046511627907
BR00115132,Higher,Stain3-CondB,60.0,16.27906976744186
BR00115128,Lower,Stain3-CondC,57.77777777777777,20.930232558139537
BR00115128,Higher,Stain3-CondC,62.22222222222222,18.6046511627907
BR00115126,Lower,Stain3-CondD,61.111111111111114,23.25581395348837
BR00115126,Higher,Stain3-CondD,63.33333333333333,23.25581395348837
BR00115125,Lower,Stain3-CondE,62.22222222222222,23.25581395348837
BR00115125,Higher,Stain3-CondE,62.22222222222222,23.25581395348837
BR00116622,Lower,Stain4-CondA,61.111111111111114,23.25581395348837
BR00116622,Higher,Stain4-CondA,63.33333333333333,20.930232558139537
200922_015124-V,Lower,Stain4-CondA,60.0,18.6046511627907
200922_015124-V,Higher,Stain4-CondA,61.111111111111114,18.6046511627907
200921_193743-V,Lower,Stain4-CondA,57.77777777777777,20.930232558139537
200921_193743-V,Higher,Stain4-CondA,54.44444444444444,18.6046511627907
BR00116629,Lower,Stain4-CondF,62.22222222222222,25.581395348837212
BR00116629,Higher,Stain4-CondF,61.111111111111114,25.581395348837212
BR00116630,Lower,Stain4-CondF,63.33333333333333,23.25581395348837
BR00116630,Higher,Stain4-CondF,62.22222222222222,23.25581395348837
BR00116631,Lower,Stain4-CondF,63.33333333333333,20.930232558139537
BR00116631,Higher,Stain4-CondF,62.22222222222222,23.25581395348837
BR00116625,Lower,Stain4-CondG,58.88888888888889,18.6046511627907
BR00116625,Higher,Stain4-CondG,58.88888888888889,18.6046511627907
BR00116627,Lower,Stain4-CondG,55.55555555555556,20.930232558139537
BR00116627,Higher,Stain4-CondG,57.77777777777777,20.930232558139537
BR00116628,Lower,Stain4-CondG,60.0,18.6046511627907
BR00116628,Higher,Stain4-CondG,60.0,16.27906976744186
BR00116620,Lower,Stain4-CondH,58.88888888888889,20.930232558139537
BR00116620,Higher,Stain4-CondH,61.111111111111114,20.930232558139537
BR00116621,Lower,Stain4-CondH,54.44444444444444,18.6046511627907
BR00116621,Higher,Stain4-CondH,52.22222222222223,18.6046511627907
BR00116624,Lower,Stain4-CondH,60.0,18.6046511627907
BR00116624,Higher,Stain4-CondH,4.444444444444445,4.651162790697675
