Plate Name,Exposure time,Batch,Percent Replicating,Percent Matching
BR00115133,Lower,Stain3-CondA,0.5888888888888889,0.20930232558139536
BR00115133,Higher,Stain3-CondA,0.6,0.23255813953488372
BR00115132,Lower,Stain3-CondB,0.5888888888888889,0.18604651162790697
BR00115132,Higher,Stain3-CondB,0.6,0.16279069767441862
BR00115128,Lower,Stain3-CondC,0.5777777777777777,0.20930232558139536
BR00115128,Higher,Stain3-CondC,0.6222222222222222,0.18604651162790697
BR00115126,Lower,Stain3-CondD,0.6111111111111112,0.23255813953488372
BR00115126,Higher,Stain3-CondD,0.6333333333333333,0.23255813953488372
BR00115125,Lower,Stain3-CondE,0.6222222222222222,0.23255813953488372
BR00115125,Higher,Stain3-CondE,0.6222222222222222,0.23255813953488372
BR00116622,Lower,Stain4-CondA,0.6111111111111112,0.23255813953488372
BR00116622,Higher,Stain4-CondA,0.6333333333333333,0.20930232558139536
200922_015124-V,Lower,Stain4-CondA,0.6,0.18604651162790697
200922_015124-V,Higher,Stain4-CondA,0.6111111111111112,0.18604651162790697
200921_193743-V,Lower,Stain4-CondA,0.5777777777777777,0.20930232558139536
200921_193743-V,Higher,Stain4-CondA,0.5444444444444444,0.18604651162790697
BR00116629,Lower,Stain4-CondF,0.6222222222222222,0.2558139534883721
BR00116629,Higher,Stain4-CondF,0.6111111111111112,0.2558139534883721
BR00116630,Lower,Stain4-CondF,0.6333333333333333,0.23255813953488372
BR00116630,Higher,Stain4-CondF,0.6222222222222222,0.23255813953488372
BR00116631,Lower,Stain4-CondF,0.6333333333333333,0.20930232558139536
BR00116631,Higher,Stain4-CondF,0.6222222222222222,0.23255813953488372
BR00116625,Lower,Stain4-CondG,0.5888888888888889,0.18604651162790697
BR00116625,Higher,Stain4-CondG,0.5888888888888889,0.18604651162790697
BR00116627,Lower,Stain4-CondG,0.5555555555555556,0.20930232558139536
BR00116627,Higher,Stain4-CondG,0.5777777777777777,0.20930232558139536
BR00116628,Lower,Stain4-CondG,0.6,0.18604651162790697
BR00116628,Higher,Stain4-CondG,0.6,0.16279069767441862
BR00116620,Lower,Stain4-CondH,0.5888888888888889,0.20930232558139536
BR00116620,Higher,Stain4-CondH,0.6111111111111112,0.20930232558139536
BR00116621,Lower,Stain4-CondH,0.5444444444444444,0.18604651162790697
BR00116621,Higher,Stain4-CondH,0.5222222222222223,0.18604651162790697
BR00116624,Lower,Stain4-CondH,0.6,0.18604651162790697
BR00116624,Higher,Stain4-CondH,0.044444444444444446,0.046511627906976744
